Name,About,Raised,Corporate Revelance,Investment Relevance,CEO Email,General Email,New
Spherical Defense,A north-south and east-west WAF / threat detection startup,"$20,000",5,5,,,New
Detectify,Penetration testing for web apps,"$9,070,000",5,0,,,In Contact
Czar Securities,Full suite web app security,"$120,000",4,5,,,New
Digital Shark,WAF for detection,"$150,000",5,5,nick@digitalshark.org,contact,New
Patronus.io,Penetration testing for web apps,"$267,000",5,4,matthias.friese@patronus.io,hello,New
Wallarm,"AI-based WAF, attack verifier, and penetration testing","$10,000,000",5,0,in@wallarm.com,,In Contact
baffinbaynetworks,"WAF for DDoS protection, anti-bot","$6,400,000",5,0,joakim.sundberg@baffinbaynetworks.com,,New
Probely,"Vulnerabiltiy scanning for web apps and guidance on how to fix them, part of CI/CD","$1,480,000",5,3,nloureiro@probely.com,,In Contact
Castle.io,Protects user accounts from takeover and credential stuffing,"$11,840,000",4,0,johan@castle.io,,In Contact
DataDome,Full suite web app security,"$4,150,000",4,0,fabien.grenier@datadome.co,,In Contact
Infisecure,AI-based anti-bot for web apps,"$600,000",5,5,abhilash@infisecure.com,,New
Netsparker,"Web app vulnerabulity scanning and ways to fix them, part of CI/CD","$40,000,000",5,0,ferruh@netsparker.com,,New
Checkmarx,Code analysis for compliance.,"$8,000,000",4,0,emmanuel@checkmarx.com,,New
ShieldSquare,AI-based anti-bot for web apps without using DNS traffic redirection,,Acquired,,,,In Contact
Acunetix,"Web app vulnerabulity scanning and ways to fix them, part of CI/CD",,Acquired,,,,New
Distil Networks,Leader in AI-based anti-bot,,Acquired,,,,New
SentiLink,Detecting fake people making accounts,"$15,120,000",3,0,naftali@sentilink.com,,In Contact
Signal Sciences,Multi-cloud WAF with lightweight modules,,Acquired,,,,In Contact
ProdPerfect,Performance testing for web apps,"$4,000,000",4,3,,,In Contact
Kasada.io,Anti-bot,"$9,000,000",4,3,sam@kasada.io,,In Contact
Human Presence,AI-based anti-bot based on user behavior,"$980,000",5,5,bill@humanpresence.io,,New
PerimeterX,"AI-based anti-bot based on user behavior, and other vulnerability assessments","$78,000,000",5,0,ido@perimeterx.com,,In Contact
PacketStream,,,,,,,New
Alliantist,,,,,,,New
SecureAge,,,,,,,In Contact
Greycortex,,,,,,,In Contact
fleetsmith,,,,,,,New
Nu Quantum,,,,,,,New
GhostVolt,,,,,,,New
Naxio,,,,,,,New
Synsec,,,,,,,New
Argosy,,,,,,,New
Currentware,,,,,,,New
Hubackup,,,,,,,New
Breachlock,,,,,,,New
Swiftlane,,,,,,,New
Airo Security,,,,,,,New
Redbot Security,,,,,,,New
Polyswarm,,,,,,,In Contact
Zobi,,,,,,,New
