Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
CyberSmart,https://www.crunchbase.com/organization/cybersmart-2,"Compliance, Cyber Security, SaaS, Small and Medium Businesses","London, England, United Kingdom","CyberSmart is an automated end-to-end compliance platform that helps SMBs to identify, secure & certify against info security standards.","3,050",12/5/16,day,https://cybersmart.co.uk,hello@cybersmart.co.uk,"CyberSmart is an automated compliance platform that helps you to identify, fix, certify and protect against security incidents to your business. Safeguarding your organisation, data and supply chain is hard work — let us help you make it easier.",1616001,USD,1616001,,In Contact
XAIN,https://www.crunchbase.com/organization/xain-group,"Artificial Intelligence, Cyber Security, Infrastructure, Machine Learning, Privacy, SaaS","Berlin, Berlin, Germany","XAIN aims to solve challenges in the research field of privacy-preserving AI, particularly focusing on Federated Machine Learning.","3,236",1/1/17,year,https://www.xain.io,services@xain.io,,6000000,EUR,7035853,,In Contact
Immersive Labs,https://www.crunchbase.com/organization/immersive-labs-2,"Cyber Security, Developer Platform, Developer Tools, Information Technology, Virtual Workforce","Bristol, Bristol, City of, United Kingdom","Immersive Labs is the world's first fully interactive, on-demand, and gamified cyber skills platform.","3,616",1/1/17,month,https://immersivelabs.com/,admin@immersivelabs.com,"Immersive Labs designs and develops a cloud-based cyber assessment platform to measure and improve technical cyber skills of the company. It offers access to user profiles, cyber skill dashboards, and gamified leaderboards to identify skill gaps and therefore potential security risks; track people development; and recognize internal talent at performance reviews.  Immersive Labs provides monthly and annual plans, including aware; technical (includes aware); and professional and cyber warrior (includes aware and technical) which offers courses, such as cyber awareness; GDPR compliance; open source intelligence and investigation; compliance and certification; security engineering; encoding/encryption; basic windows operating system; and OWASP top ten for PHP. It develops skills, including ethical web hacking; ethical infrastructure hacking; reverse engineering; IoT/firmware security; and advanced cyber warrior CTF Challenges for government, defense, and law enforcement agencies.  Additionally, Immersive Labs offers skill development for traffic analysis, protocol anomalies, honeypot interaction, log analysis, splunk analysis and attack classification, forensics, internal misuse, and windows / linux / networking skills. James Hadley founded it in January 2017, with its headquarters in Bristol in the United Kingdom.",8018243,USD,8018243,,New
Panorays,https://www.crunchbase.com/organization/panorays,"Cyber Security, Information Technology, Risk Management, Supply Chain Management","Tel Aviv, Tel Aviv, Israel",Panorays automates third party security management,"9,184",1/1/16,year,https://panorays.com/,,"Panorays automates third party security management. The platform enables companies to easily view, manage and engage on the security posture of their third-parties, vendors, suppliers, and business partners. The platform inherently combines a continuous hacker’s view of the evaluated company together with internal policy enforcement. With the Panorays platform, companies dramatically shorten their third-party security evaluation process and gain continuous visibility while ensuring compliance to regulations such as GDPR and NY DFS. Panorays is a SaaS-based platform, no installation needed.",5000000,USD,5000000,,In Contact
ThreatSwitch,https://www.crunchbase.com/organization/threatswitch,"Big Data, Cyber Security, Enterprise Software, Machine Learning, SaaS","Charlotte, North Carolina, United States",ThreatSwitch's enterprise software helps companies adapt to rapidly changing security rules and regulations.,"11,058",10/1/16,month,https://www.threatswitch.com/,info@threatswitch.com,"ThreatSwitch is Software as a Service (SaaS) for any company subject to strict security regulations. We exist to make compliance easier by radically simplifying and automating high volume, data-intensive, and administrative tasks. The result for our customers is lower cost of compliance, increased employee participation in the security program, and reduced overall risk.",2067000,USD,2067000,,In Contact
Quantstamp,https://www.crunchbase.com/organization/quantstamp-technologies,"Blockchain, Cyber Security, Security","San Francisco, California, United States",Leader in Smart Contract Security,"11,249",7/1/17,day,https://quantstamp.com/,info@quantstamp.com,Quantstamp is the Leader in Smart Contract Security,2745000,USD,2745000,,In Contact
CyberSaint Security,https://www.crunchbase.com/organization/cybersaint,"Compliance, Cyber Security, Risk Management, Software","Boston, Massachusetts, United States","CyberSaint provides its flagship CyberStrong platform that implements automated, intelligent, and integrated compliance and risk management.","12,521",1/1/16,year,https://www.cybersaint.io,info@cybersaint.io,"CyberSaint Security is a leading cybersecurity software firm that helps organizations address business risk through an automated, intelligent cybersecurity compliance and risk management program. Based in Boston, Massachusetts, the CyberSaint team’s intellectual DNA winds deeply through the academic, tech and investment communities in Boston, the White House, RSA, IBM, EMC, KPMG, MIT, Harvard, and others. The Company’s mission is to empower organizations to adopt cybersecurity frameworks that enable holistic measurement, enhance communication and improve cybersecurity resiliency. The CyberStrong Platform is an integrated risk management solution powering automated, intelligent cybersecurity compliance and risk management. Built on the gold-standard foundation of the NIST Cybersecurity Framework, CyberStrong’s patented capabilities streamline and automate GRC activities and provide a single pane of glass through which CISOs and their security teams can measure, report, and mitigate risk. CyberStrong's unparalleled time-to-value, breakthrough Artificial Intelligence and Machine Learning automation eliminate manual effort and help organizations make informed decisions that reduce risk while driving overall business value.",3000000,USD,3000000,,In Contact
CyberOwl,https://www.crunchbase.com/organization/cyberowl,"Analytics, Computer, Cyber Security, Internet of Things, Network Security","London, England, United Kingdom",CyberOwl offers an early warning system for cyber attacks through real-time monitoring of high value targets for malicious behavior.,"13,228",1/1/16,year,http://www.cyberowl.io/,info@cyberowl.io,"CyberOwl develops an innovative early warning system for attacks through real-time monitoring of high-value targets for malicious behavior. The technology, based on research shortlisted for the Lloyd’s Science of Risk Prize 2015, is aimed at addressing the challenges of increasingly anonymous and persistent threats to rapidly-expanding global networks, particularly in the wake of Smart Cities and the Internet of Things. The system raises early warning on network assets for possible undesirable activity, by applying a Bayesian-based framework to systematically analyze indicators associated with early stages of such activity. This approach dramatically reduces the processing overheads of monitoring. The benefits to the security operation include scalability to networks exceeding 1 billion devices, providing earlier visibility of risk and improving prioritization and decision-making in deploying countermeasures.  CyberOwl is developing its minimum viable product and is looking for two or three strategic industry design partners for validation, verification, and further development. The ideal design partner would provide access to real-world security problems in a large network, high-volume data environment. CyberOwl was founded on 2016 and is headquartered in London, England.",1279498,USD,1279498,,In Contact
Gladius,https://www.crunchbase.com/organization/gladius,"Cyber Security, Enterprise Software, Network Security, SaaS, Software, Virtualization","Washington, District of Columbia, United States",Blockchain based DDoS mitigation and content delivery network,"15,889",4/1/17,month,https://gladius.io,contact@gladius.io,"Gladius Makes Your Websites Faster and Safer. We believe in giving websites the tools they need to stay ahead in the ever-changing digital world. Through our decentralized network on the blockchain, anyone around the globe can rent out their spare computation power and bandwidth to be part of a content delivery and DDoS protection network. Our ecosystem will drastically reduce the overall costs of CDN and DDoS mitigation services, enhance the security and openness of the market, create an internal market of perfect competition, markedly improve the user experience, and disrupt the CDN and DDoS protection market. ",20200000,USD,20200000,,New
NanoLock Security Ltd,https://www.crunchbase.com/organization/nanolock-security,"Computer, Cyber Security, Internet of Things, Software","Nitsané Oz, HaMerkaz, Israel",Providing the industry’s only cloud-to-flash security and management solution for IoT and connected devices,"16,430",1/1/16,year,https://www.nanolocksecurity.com/,info@nanolocksec.com,"NanoLock Security  provides the industry’s only cloud-to-flash security and management solution for connected and IoT devices. NanoLock creates an end-to-end solution that secures the entire chain of IoT system vulnerability–from deeply embedded endpoints to the cloud and up into the enterprise management layer. NanoLock’s founding team and senior management is made up of veterans from the cybersecurity domain, representing a wealth of deep knowledge about management and security of next generation edge devices. NanoLock has offices in New York, Israel, and Tokyo. Please visit www.nanolocksecurity.com for more information and follow Nanolock on Twitter and LinkedIn.",4500000,USD,4500000,,New
Metazoa,https://www.crunchbase.com/organization/metazoa,"Cyber Security, Developer Tools, Enterprise Software, Information Technology, SaaS, Software, Test and Measurement","Los Gatos, California, United States","Designed for Salesforce administrators, Snapshot is the ultimate tool for org cleanup, reporting, auditing, comparison and lifecycle mgmt","16,464",1/1/18,year,https://www.metazoa.com/,info@metazoa.com,"Metazoa's solution Snapshot provides highly visual tools to deploy metadata assets from a sandbox or Salesforce DX project to a production account. Over 20 comprehensive reports document every aspect of your Salesforce account: unused assets, complex relationships, disaster recovery, data security, and corporate compliance. Snapshot is a complete solution for your salesforce org management. Snapshot provides a comprehensive way to visualize the complexity of your org, generate reports on the metadata configuration, deploy changes from sandbox to production, roll back deployments, conduct compliance reporting, clean up unused assets, and track configuration changes over time",2000000,USD,2000000,,New
Futurae,https://www.crunchbase.com/organization/futurae,"Cyber Security, Information Technology, Software","Zürich, Zurich, Switzerland",Futurae offers IT security solutions and a smart authentication software called Sound-Proof.,"23,665",1/1/16,year,https://futurae.com/,info@futurae.com,Futurae was created in 2016 from the Systems Security Group of ETH Zurich. Futurae has the goal to make the authentication process easier and safer for users and companies. Futurae offers companies an authentication suite with AI-based authentication and regulatory-compliant products (e.g. PSD2). These products provide increased productivity and improved user experience for both employees and customers.,2100000,CHF,2172227,,In Contact
Insikt Intelligence,https://www.crunchbase.com/organization/insikt-intelligence,"Artificial Intelligence, Big Data, Cyber Security, Data Mining, Fraud Detection, Homeland Security, Law Enforcement, Legal, Machine Learning, Natural Language Processing","Barcelona, Catalonia, Spain",Insikt Intelligence is a deep tech start up leveraging AI and Machine Learning for detection of criminal and radical content.,"25,167",1/1/16,year,http://www.insiktintelligence.com/,info@insiktintelligence.com,"Insikt Intelligence is an AI startup leveraging complex Machine Learning techniques to detect criminal content online.  Insikt's Inviso platform is a cutting-edge tool, powered by proprietary AI, for detecting and predicting the spread of criminal content from digital sources (such as social media).  The company's passion is building easy to use yet scientifically complex tools for helping Law Enforcement Agencies gain vital intelligence from digital sources data applying Natural Language Processing and Machine Learning techniques to live data streams.  Insikt also specializes in applying other complex analyses to social media content and communities as well as complex Data Mining techniques to process large data sets to help our customers investigate and discover patterns in content and connections between users, unearthing hidden insights. Insikt’s mission is to harness our technology for the good of society by putting tools with the potential to prevent crime and save lives in the hands of law enforcement who struggle to find meaning in the data deluge produced by digital data.",1533153,EUR,1810474,,New
ImmuniWeb,https://www.crunchbase.com/organization/high-tech-bridge,"Artificial Intelligence, Cyber Security, Machine Learning, Security","Geneva, Geneve, Switzerland","Award-winning AI technology for application penetration testing, discovery and risk ratings.","27,155",4/10/19,day,https://www.immuniweb.com,info@immuniweb.com,"ImmuniWeb® is a globally registered trademark owned and operated by Swiss company High-Tech Bridge. Originally created as a penetration testing boutique in 2007, High-Tech Bridge was later recognized by Frost & Sullivan as a leading service provider in the emerging European penetration testing market in 2012. Later, High-Tech Bridge embodied its ambitions to grow and deliver excellence to customers all over the world via ImmuniWeb AI platform first unveiled in 2014, after almost five years of research in application security and machine learning. Thrive to innovation and desire to ameliorate traditional penetration testing embodied in ImmuniWeb’s proprietary technology tailored for a rapid, DevSecOps-enabled and cost-effective application penetration testing. Since the public launch in 2015, ImmuniWeb AI has grown from a single-offering to nine interconnected products that now form a unique application security ecosystem tailored for organizations of all sizes. The ongoing success has been corroborated by many prestigious awards for innovation, notably Garner Cool Vendor, IDC Innovator and the Winner of SC Awards Europe in “Best practical usage of Machine Learning and AI” category. Today, ImmuniWeb is a distinguished global brand of web and mobile application security testing and risk ratings.",4300000,USD,4300000,,New
Authoreon.io,https://www.crunchbase.com/organization/authoreon,"Blockchain, Cyber Security, Ethereum, Identity Management, Supply Chain Management","Munich, Bayern, Germany","Authoreon solutions prevent fraud, cyber attacks, material and immaterial identity theft.","33,009",3/6/17,day,https://www.authoreon.io,info@authoreon.io,"Authoreon solutions prevent fraud, cyber attacks, material and immaterial identity theft, and they provide traceability to supply and ownership chains.",1500000,USD,1500000,,New
